query,calibration_label,expected_intent,expected_evidence,known_chunk_id,notes
Pratibha Protsahan Yojana scholarship eligibility criteria,knowledge_gap,admissions,,,"Gap from knowledge_gaps.csv: exact criteria and amount not verified in trusted KB"
PhD Research Entrance Test date for 2025,knowledge_gap,admissions,,,"Gap from knowledge_gaps.csv: RET dates are volatile and change yearly; not in static KB"
exact salary of AdtU faculty members,knowledge_gap,admissions,,,"Out-of-scope-for-student: not a student-facing KB item; no admissions/facility data covers this"
complaint resolution timeline at AdtU grievance cell,knowledge_gap,admissions,,,"Gap from knowledge_gaps.csv: 7-working-day SLA not independently verified from official URL in KB"
ATM on campus nearest to hostel blocks,knowledge_gap,facilities,,,"KB covers campus map/layout at high level; specific ATM location not present in trusted sources"
placement package statistics for 2024 batch,knowledge_gap,admissions,,,"Placement records are not part of the current V1/V2 trusted KB sources"
what hostel facilities are available for disabled students,boundary,facilities,hostel; facility; block,"hostel-details-html_33","Chunks describe hostel blocks and amenities; may not explicitly address accessibility needs. Over-trust risk."
how much does the campus bus from Jalukbari cost per month,boundary,fees,transport; bus; route,"transport-html_0","KB has bus routes (12 routes) but not price per month; retrieval will return route info instead of cost"
which subjects are taught in B.Tech CSE second year,boundary,facilities,CSE; 2nd year; subject,"v2_class_routine_14","Routine chunks show class schedule but not syllabus; retrieved content is related but not the actual answer"
is there any provision for early registration before counselling,boundary,admissions,registration; counselling; date,"admissions-html_0","Admissions chunks may list counselling but not early registration provisions specifically"
can I get a fee instalment plan for hostel charges,boundary,fees,hostel; fee; instalment,"v2_fees_6","Fees chunks may cover programme fees but not instalment plans for hostel charges"
what clubs and societies can I join at AdtU,boundary,facilities,student; society; club,"activities-html_0","V1 may have some co-curricular info but not a structured clubs directory; retrieval will be partial"
kya AdtU mein night canteen available hai,boundary,facilities,canteen; hostel; food,"hostel-details-html_33","Hostel chunk may mention mess but not specifically night canteen hours; boundary case"
what is the process to apply for a single room in the hostel,boundary,facilities,hostel; room; single,"hostel-details-html_33","Hostel chunk describes block types and capacity; not the room allocation application process"
how can I transfer from one hostel block to another,boundary,facilities,hostel; block; transfer,"hostel-details-html_33","Hostel chunk has block names/wardens; not the administrative transfer procedure"
what is the minimum attendance required to sit in exams,boundary,admissions,attendance; exam; minimum,"admissions-html_0","V1 KB has general rules; attendance requirement may be in regulations chunks but not comprehensive"
