query,calibration_label,expected_intent,predicted_intent,intent_correct,blocked_oos,top1_distance,top3_mean_distance,top5_mean_distance,distinct_parent_top3_mean_distance,distinct_parent_top5_mean_distance,top1_chunk_id,top3_chunk_ids,top5_chunk_ids,top1_category_match,top3_category_match_rate,any_v2_chunk_in_top5,known_chunk_found,answer_found_in_text
lost student ID card replacement procedure,knowledge_gap,facilities,admissions,False,False,0.40317,0.412699,0.418629,0.412699,0.418629,join-adtu_33,join-adtu_33; apply-adtu-in_7; ews2025_40,join-adtu_33; apply-adtu-in_7; ews2025_40; apply-adtu-in_16; join-adtu_36,True,1.0,False,False,False
Pratibha Protsahan Yojana scholarship eligibility criteria,knowledge_gap,admissions,facilities,False,False,0.320929,0.325795,0.33011,0.325795,0.33011,iqac_85,iqac_85; iqac_66; iqac_95,iqac_85; iqac_66; iqac_95; circulars_34; iqac_106,True,1.0,False,False,False
PhD Research Entrance Test date for 2025,knowledge_gap,admissions,admissions,True,False,0.311652,0.311784,0.313341,0.311784,0.313341,ews2025_42,ews2025_42; all-programmes_2; ews2025_2,ews2025_42; all-programmes_2; ews2025_2; join-adtu_2; all-programmes_33,True,1.0,False,False,False
exact salary of AdtU faculty members,knowledge_gap,admissions,facilities,False,False,0.201951,0.221597,0.227194,0.221597,0.227194,public-self-disclosure-html_0,public-self-disclosure-html_0; circulars_1; circulars_90,public-self-disclosure-html_0; circulars_1; circulars_90; iqac_162; circulars_81,True,1.0,False,False,False
complaint resolution timeline at AdtU grievance cell,knowledge_gap,admissions,admissions,True,False,0.232675,0.245647,0.250477,0.245647,0.250477,join-adtu_33,join-adtu_33; all-programmes_2; ews2025_2,join-adtu_33; all-programmes_2; ews2025_2; join-adtu_2; apply-adtu-in_1,True,1.0,False,False,False
ATM on campus nearest to hostel blocks,knowledge_gap,facilities,facilities,True,False,0.321121,0.329313,0.333388,0.329313,0.333388,hostel-details-html_33,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1,hostel-details-html_33; hostel-details-html_0; hostel-details-html_1; iqac_91; iqac_94,True,1.0,False,False,False
placement package statistics for 2024 batch,knowledge_gap,admissions,admissions,True,False,0.32937,0.337068,0.343942,0.337068,0.343942,ews2025_36,ews2025_36; ews2025_37; join-adtu_33,ews2025_36; ews2025_37; join-adtu_33; ews2025_34; ews2025_40,True,1.0,False,False,False
what hostel facilities are available for disabled students,boundary,facilities,facilities,True,False,0.299136,0.304502,0.315327,0.304502,0.315327,iqac_95,iqac_95; hostel-details-html_0; hostel-details-html_33,iqac_95; hostel-details-html_0; hostel-details-html_33; hostel-details-html_1; iqac_91,True,1.0,False,True,False
how much does the campus bus from Jalukbari cost per month,boundary,fees,fees,True,False,0.282868,0.28841,0.294525,0.28841,0.294525,v2_fees_4,v2_fees_4; v2_fees_0; v2_fees_5,v2_fees_4; v2_fees_0; v2_fees_5; v2_scholarships_0; v2_fees_1,True,1.0,True,False,False
which subjects are taught in B.Tech CSE second year,boundary,facilities,admissions,False,False,0.351003,0.351003,0.354533,0.351003,0.354533,all-programmes_21,all-programmes_21; ews2025_21; join-adtu_21,all-programmes_21; ews2025_21; join-adtu_21; all-programmes_11; ews2025_11,True,1.0,False,False,False
is there any provision for early registration before counselling,boundary,admissions,admissions,True,False,0.332674,0.337797,0.342173,0.337797,0.342173,ews2025_37,ews2025_37; ews2025_34; ews2025_40,ews2025_37; ews2025_34; ews2025_40; join-adtu_0; ews2025_0,True,1.0,False,False,False
can I get a fee instalment plan for hostel charges,boundary,fees,fees,True,False,0.357747,0.360802,0.363981,0.360802,0.363981,v2_fees_6,v2_fees_6; v2_fees_3; v2_scholarships_1,v2_fees_6; v2_fees_3; v2_scholarships_1; v2_scholarships_0; v2_fees_2,True,1.0,True,True,False
what clubs and societies can I join at AdtU,boundary,facilities,out_of_scope,False,True,,,,,,,,,,,,,
kya AdtU mein night canteen available hai,boundary,facilities,facilities,True,False,0.263166,0.269645,0.272095,0.269645,0.272095,hostel-details-html_0,hostel-details-html_0; hostel-details-html_1; circulars_57,hostel-details-html_0; hostel-details-html_1; circulars_57; iqac_129; iqac_92,True,1.0,False,True,False
what is the process to apply for a single room in the hostel,boundary,facilities,out_of_scope,False,True,,,,,,,,,,,,,
how can I transfer from one hostel block to another,boundary,facilities,facilities,True,False,0.300756,0.316866,0.324562,0.316866,0.324562,hostel-details-html_33,hostel-details-html_33; iqac_91; v2_class_routine_8,hostel-details-html_33; iqac_91; v2_class_routine_8; v2_class_routine_26; v2_class_routine_50,True,1.0,True,True,False
what is the minimum attendance required to sit in exams,boundary,admissions,out_of_scope,False,True,,,,,,,,,,,,,
