query,label
selection process for mca,admissions
direct admission cutoff details,admissions
seat allot ho gya aage kya kare,admissions
waiting list kab tak update hoga,admissions
interview schedule for btech,admissions
which docs for verification,admissions
counselling center kahan hai,admissions
my application status is pending,admissions
cancel admit process,admissions
interview m questions kya honge,admissions
cafeteria menu for today,facilities
bsc first sem routine pdf,facilities
bus timing from guwahati station,facilities
central library books issue time,facilities
hostel me washing machine hai?,facilities
daily class routine download,facilities
academic calendar start date,facilities
bus pass valid kitne din?,facilities
canteen me kya milta hai,facilities
morning class kitne baje start hogi,facilities
shuttle service schedule,facilities
library card kaise banaye,facilities
single seater room amenities,facilities
exam routine publish date,facilities
holiday list for diwali,facilities
admission ke dauran initial payment kitna dena hai,fees
seat reserve or block karne ke liye advance fee,fees
first semester fee to be paid at the time of admission,fees
penalty or late fine last date nikalne par,fees
grace period for semester dues kitna allowed hai,fees
total admission confirmation amount,fees
provisional seat allocation booking fee,fees
late payment charges for tuition dues,fees
rohit sharma ne kitne run banaye,out_of_scope
assam ka capital kya hai,out_of_scope
stock market me aaj kaunsa share up hai,out_of_scope
india ki sabse lambi river kaun si hai,out_of_scope
mutual fund or sip return calculations,out_of_scope
ipl points table latest update,out_of_scope
application form fee submit karne ke baad step kya hai,admissions
admission cancellation procedure after paying advance,admissions
seat allotment fees pay na karu toh admission reject hoga?,admissions
without admission fees can i submit my documents for verification,admissions
